Honduras,HND,..,..,..,488.3604624,508.5254382,467.4390689,480.2053466,494.6510374,458.4359691,557.4034066,556.9468752,605.8998276,602.4872185,600.5573019,607.8646499
"Hong Kong SAR, China",HKG,..,..,..,813.399229,914.2195493,1206.012243,1510.633886,1719.897825,2039.054164,1844.490401,1946.646166,2087.211664,1993.46099,1941.519583,1967.164478
Hungary,HUN,..,1426.89966,1730.162867,2173.246968,2646.304187,2794.251944,2774.492028,2503.077801,2448.140338,2731.039703,2568.948991,2500.321359,2365.553697,2271.947205,2314.496434
Iceland,ISL,3082.711563,3444.551345,4231.992095,5071.635341,6560.998168,7334.901928,8907.791984,8255.768914,11091.54887,10524.8775,17023.16682,18157.5981,17630.07147,18178.13901,17916.12042
India,IND,..,..,..,276.7076518,287.0547568,315.9830707,351.340769,386.4709924,418.6842801,451.1383065,563.1592957,579.4087432,600.4432348,606.8742801,637.4286299
Indonesia,IDN,..,..,..,314.6231359,377.6794369,398.9132961,543.704869,664.3573418,735.8208629,792.9268815,874.5806371,831.5560284,851.7314336,863.0435104,883.910977
"Iran, Islamic Rep.",IRN,..,..,..,813.7184907,984.2334868,1136.151735,1233.037063,1670.823491,1860.258205,2451.909807,2739.565881,2759.436238,2835.041276,2853.537137,3023.490439
Iraq,IRQ,..,..,..,521.1285566,712.1441791,945.0270746,1147.367638,1661.882762,1101.752428,978.5947911,1219.372447,1293.563666,1399.274988,1456.662804,1413.496256
Ireland,IRL,1318.812487,1511.904911,2023.631076,2083.994921,2413.156353,2438.438397,2820.410168,2951.913093,3626.747161,3503.642864,3152.003605,2867.434497,2860.924499,2830.606742,2765.631521
Israel,ISR,..,..,..,2032.764399,2017.276947,1788.996693,2460.465451,2796.251578,2899.426618,2661.449185,3042.434021,2980.176157,3067.742494,2870.098765,2762.505934
Italy,ITA,794.8160447,1316.462854,2026.217475,2106.078748,2318.4273,2284.811298,2583.888077,2799.375762,3012.195,3214.674121,2930.588524,2828.404891,2709.297728,2579.472543,2414.484002
Jamaica,JAM,..,..,..,1322.530979,1053.354415,737.3736337,1148.657189,1261.960874,1435.260518,1352.97611,949.1312327,1008.077772,974.8542059,1009.13491,981.3122382
Japan,JPN,873.9103148,1361.587239,2458.357094,2725.159326,2950.135346,3005.238104,3551.161773,3935.994754,4083.831697,4062.979049,3893.266604,3610.812169,3537.36317,3567.629354,3470.763129
Jordan,JOR,..,..,..,365.1827169,641.1265563,903.8068222,919.5016433,940.6530292,953.4699292,1168.399949,988.9833328,932.8006825,982.1415457,918.4567736,928.520476
Kazakhstan,KAZ,..,..,..,..,..,..,4492.853071,3303.267667,2397.202335,3358.971122,4234.926567,4670.990783,4399.11836,4786.670306,4434.39827
Kenya,KEN,..,..,..,448.0971487,453.2892945,442.1266359,457.7252343,444.6854832,445.124706,443.9159219,472.0566203,468.9755809,462.097428,475.8829022,513.4264871
"Korea, Dem. People’s Rep.",PRK,..,..,..,1367.708977,1737.782321,1907.012986,1637.113862,1005.610572,859.9080425,892.5578959,768.7908785,566.2233745,573.5538947,434.1710726,474.2390847
"Korea, Rep.",KOR,..,..,..,693.3380479,1082.192595,1302.102371,2167.339608,3210.132036,4002.671284,4364.219091,5045.487749,5216.587809,5248.519891,5231.67546,5289.275832
Kosovo,XKX,..,..,..,..,..,..,..,..,908.6088235,1140.686958,1405.040886,1411.47292,1311.783736,1292.442849,1213.283566
Kuwait,KWT,..,..,..,6323.896033,7617.569689,8066.303276,4338.508727,9183.849263,9126.908761,11544.15553,10699.31686,10147.53446,10953.22445,9708.273017,8956.820315
Kyrgyz Republic,KGZ,..,..,..,..,..,..,1704.814629,522.7973423,473.3792667,498.5427885,505.4022651,600.2852428,737.2264232,690.3176796,650.401508
Latvia,LVA,..,..,..,..,..,..,2949.284137,1849.585281,1618.460011,2022.56433,2148.653551,2066.637569,2170.585832,2156.16201,2176.843306
Lebanon,LBN,..,..,..,840.2501854,949.4156703,870.0537215,722.8573564,1453.587632,1516.692084,1264.722393,1470.652211,1383.155841,1458.601653,1340.265787,1337.366032
Libya,LBY,..,..,..,1385.475017,2189.460923,2615.657674,2517.101938,2826.195169,2955.26323,3068.18061,3369.032799,2209.889689,2782.748314,3133.488058,2880.14393
